faq_id,question_date,atomic_id,question,answer,l1_category,l2_category,source_l2_category_1,source_l2_category_2,source_l2_category_3,l3_category_1,l3_category_2,l3_count
23136,2010-01-01,23136_A01,圖書館研習或研討會之手冊（或紀錄）在分類時，是否應集中標引為類號027.9，或依研討會主題分別標引相應主題之類號？,有關圖書館研習或研討會之手冊（或紀錄），在分類時標引時（以《中國圖書分類法》增訂7版為分類標引工具），最好依研討會主題分別標引相應之類號，例如有關分類編目研討會分入類號023.3，有關參考諮詢研討會分入類號023.6等。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,單一主題類號判定,2
23137,2010-01-01,23137_A01,待編文獻題名中出現「密笈」（或「密技」）字樣，例如「楓之谷電玩密技」，分類時可否將題名中凡出現該等字樣之文獻匯集於一處？,1 文獻分類最主要標準是文獻所探討的內容主題，分析言之，即文獻中所探討、所研究、所論述的對象、事物、問題、事件、概念等。文獻標引時，首先依內容主題所論述的學科領域歸類，其次才依其他標準做為歸類時的參考，例如時間、空間、形式、語言、版本等因素或特徵。 2 文獻題名中出現「密笈」（或「密技」）字樣，並無揭示該文獻內容主旨的作用，故不可將題名中出現該等字樣之文獻匯集於一處，仍應依該文獻所探討的主題歸類。以 臺端所舉文獻為例，似應分入「電玩」類或「漫畫」類為妥。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23138,2010-01-01,23138_A01,再生能源中涉及經濟、政策、法令等層面的探討文獻，應分入《中國圖書分類法》哪一類號？,應分入《中國圖書分類法》『554.68 能源』類。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23138,2010-01-01,23138_A02,再生能源中涉及工程、技術等層面的探討文獻，應分入《中國圖書分類法》哪一類號？,應分入《中國圖書分類法》『400.15 能源技術』類。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23140,2010-01-01,23140_A01,有關原文書之整序法，是否仍依內容主題別各入其類？,一般而言，藏書體系應依文獻之內容主題為準，然後分門別類加以整序，使成有序的集合體。因此，對於西文書自然也應依內容主題，分入圖書館所採用之分類規範工具之相應類號。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23146,2010-01-01,23146_A01,當書籍內容包含動植物圖片與自然生態知識介紹時，分類應優先以文獻形式因素「圖片」或主題因素「生態」為準？,1 文獻內容有學科主題因素、有文獻形式因素。分類時通常以主題因素為主，以形式因素為輔。易言之，即先依主題因素分類，必要時再依形式因素複分之。 臺端認為「圖片」（形式因素）與「生態」（主題因素）兩者在分類時會有衝突之處，其實不必過慮，基本上是不會發生的。準此， 臺端所提之問題，應分生物學類下之生態學目，必要時再以圖片複分之。 2 只有當文獻內容同時涉及許多學科，而形式因素成為文獻最主要特徵時，才會考慮以形式因素為分類主要標準，分入總類中相應之綜合性形式類目。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23150,2010-01-01,23150_A01,一般有關論文的書籍應如何編目？,"論文集之分類：論文集是一種文獻之形式因素，分類標引時除綜合性論文集外，一般不單獨用來標引文獻的，通常須附麗於專題性文獻。因此，有關論文集之分類問題可分下列兩方面來敘述： ※※以下分類標引之規範工具為《中國圖書分類法》。 1. 綜合性論文集之分類：綜合性論文集之特徵，是內容主題涉及多方面。因此，分類時以分入《中圖法》總類為宜，其類目為70 普通論叢""類；如有必要，再依編著者時代細分之。 2. 專科性論文集之分類：有關專門性論文集，分類時宜先依文獻之內容主題分入相應之類目，然後再依總論複分""07 論文集""複分之。複分方法，可依總論複分之規定進行之。",分類法,類號判定與選擇,類號判定與選擇,複分與號碼組合,,單一主題類號判定,多主題與跨學科主類選擇,2
23151,2010-01-01,23151_A01,在知識管理中如何做知識分類？,"非常抱歉，由於本問題涉及之內容範圍甚為廣泛，不能詳為解答，僅就個人所知擇要簡答如下，不週之處，敬請見諒。 （一）規範工具：可選用一種類目較詳盡完善之分類法為規範工具，也可根據資料本身之特性及要求自行編訂分類表。 （二）分類標準：編製類表時，必須先要訂定分類標準，然後才能展開編製類表的工作。若採用之分類標準不同，其編製出來的類目便不一樣。例如以""國家""作為文學的分類標準，可將文學分為中國文學、美國文學、法國文學等；但如以""文體""為分類標準，則可分為詩歌、散文、小說、劇本等。唯分類標準最好每一次只以一種為標準，如此所分出之同級類目或並列類目才具有""互斥性""。 （三）分類深度：即有關分類級次問題，可依據被分類事物之性質或目的要求，然後決定分類的深度。一般而言，分類級次以編制至四、五級為度，並非分類深度愈深愈好。 （四）一物二分：對於分類時是否允許""一物二分""，即對於具有雙主題之事物或涉及兩類之事物，是否可分入兩個類目？這對於類表之編製及實際分類標引都有影響，必須事先加以規定，以免前後不一致。允許""一物二分""之優點是方便檢索利用，即檢索者不論從那一類目檢索，均可查獲；但其缺點是不便於定位查檢、數量稽核及控管。 （五）應備知識：做好知識分類管理，最好須儲備下列各類知識，例如邏輯、語言學（尤以語義學為重要）、目錄學、文獻學、文獻分類學等。若具備某類學科背景及某種語文能力則更好。 （六）應備辭書：簡明大英百科全書、大美百科全書、中國大百科全書、分卷本辭海等。",分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23153,2010-01-01,23153_A01,西文期刊合訂本是否應該分類？,圖書館收藏之文獻，通常須經由分類過程，俾將文獻組織成有倫有脊的藏書體系，發揮『依類求書，因書究學』的功能。唯對於期刊等文獻類型，未嘗不可採某種變通方式,分類法,類號判定與選擇,類號判定與選擇,,,資料形式、用途與讀者對象,,1
23156,2010-01-01,23156_A01,當一書的內容主題可以分入兩個類號時，在圖書館有複本情況下，同一筆書目記錄是否可各給一個分類號，抑或堅持一書不能兩分？,（一）有關雙主題文獻，尤其是並列關係的雙主題文獻，是否可分別標引兩個類號（以下稱「一書兩分」）？在一般觀念裡，答案大多傾向於否定的。尤有進者，學校老師或許一再告誡學生，一書不可兩分，否則便是錯誤的作法。實際是否就如此呢？分析起來，恐怕未必。其實，就文獻檢索與利用觀點而論，一書兩分恰恰可以滿足讀者從不同的主題或類號都能檢索到該文獻，反而提高並促進了文獻的利用價值。清‧章學誠（實齋）在《校讎通義》就曾謂「至理有互通，一書有兩用」。對於雙主題文獻未嘗不重複著錄，以求其詳備，並不將「互著」視為一種缺失或弊病。換句話說，為了更完整揭示一書的內容主題，對於雙主題文獻都可運用「互著法」予以反映，俾使讀者從不同途徑均可檢索，以提高文獻的檢索效能。此我國古代目錄「互著」之所以產生，同時也是現代編目、分類重視「互著法」、「參照法」的原因之所在了。有關「一書兩分」之理論與實踐，我國自古以來即積累了豐富的理論及實例，足供當今編目參考、借鑑與援引。以下擬敘述「一書兩分」有關之具體作法，同時對於與「一書兩分」有關之相關類目間參照問題，也一併探討之。 （二）「一書兩分」的基本條件或基本前提是文獻內容主題必須是雙主題文獻，但與是否為複本無關。所謂「雙主題文獻」，係指文獻的內容同時涉及兩個主題，主要有並列、隸屬、影響、應用、因果、比較等關係之主題。其次配合條件有二，一是圖書館分類工作須具備「一書兩分」相應的措施，二是圖書館工作人員須具備「一書兩分」的觀念。 （三）「一書兩分」的具體作法：凡雙主題文獻分類標引時，可分別標引兩個類號，其一為「主要類號」，另一為「附加類號」（或稱「重出類號」）。附加類號通常加註識別符（例如星號、劍號、括號等），以資區別。同時，分類目錄必須分別編製主要及附加兩種款目。這兩種款目之主要差異，在於主要款目上有詳細之館藏記錄（即登錄號、冊次號及複本號等記錄），同時具有組織文獻排架及分類目錄的功能；而附加款目上無館藏記錄，只具有組織分類目錄的功能。 （四）「一書兩分」的分類目錄有主要款目及附加款目兩種，分別依其類號排入相應位置。如此一來，不論讀者從分類主要款目抑或分類附加款目，均可直接或間接查到所要查檢的文獻。 （五）藏書之排架目錄，依分類主要款目加以編製並組織之，如此即可保證文獻「一書一號」，將文獻集中一處而不致分散各處，同時也方便複本的處理。 （六）以上5點係就文獻與標引間關係加以解說的，最後順便討論與「一書兩分」有關聯的另一概念，即相關類目間或類目與類目間的參照問題。大家知道，類目間的關係多種多樣，其中交替關係和相關關係是常見的兩種類型。所謂「交替關係」，係指同一子目可分屬於兩個不同上位類的關係而言。依交替關係而設立的類目，便是「交替類目」，又稱「選擇類目」。例如保險法規，既是「保險學」類的下位類，又是「商事法」類的下位類，便是交替類目之適例。所謂「相關關係」，係指兩類目間除從屬關係、並列關係及交替關係之外其餘的關係而言。依相關關係而設立的類目，便是「相關類目」。例如「中國文字形體」與「中國書法書體」兩類即為相關類目的適例。現代分類編製法對此等類目，通常視其相關程度及類目性質以「宜入」、「參見」等「參照說明」加以聯結，俾有助於文獻相互參閱及觸類旁通。因與「一書兩分」在觀念及作法上有相通之處，故借此一併敘述之，幸勿見怪。 （七）「一書兩分」理論上雖是可行，但實務上則較少採用。這是因為需要付出較多的人力、物力，同時也需分編政策配合的緣故，各館可視實際況斟酌為之。,分類法,類號判定與選擇,類號判定與選擇,,,多主題與跨學科主類選擇,候選類號比較與適用範圍,2
23158,2010-01-01,23158_A01,圖書分類之意義是什麼？,圖書分類：是指根據圖書所反映的內容主題及其他的特徵，分門別類系統組織圖書的一種方法。詳言之，指以圖書分類法和圖書分類規則為工具，根據圖書所反映的學科屬性與其他屬性（或特徵），分門別類組織與揭示圖書的一種整序方法。,分類法,類號判定與選擇,類號判定與選擇,,,類目意義與既有類號解讀,,1
23158,2010-01-01,23158_A02,類號『144』代表何意？,僅有類號『144』而未指明那一種圖書分類法，該號碼是無意義的，只有在指明分類法後其號碼所代表的意義才凸顯出來。以本題為例，假如使用的類表為賴永祥《中國圖書分類法》，則號碼『144』所表的類目為『英國哲學』。其中，從號碼最左邊算起第一位號碼『1』表示『哲學』，第二位號碼『4』表示『哲學』類下之『西洋哲學』，第三位號碼『4』表示『西洋哲學』類下之『英國哲學』。,分類法,類號判定與選擇,類號判定與選擇,,,類目意義與既有類號解讀,,1
23160,2010-01-01,23160_A01,相同兩套叢書，可否一套採集中分類，一套採個別分類？,相同的兩套叢書之分類，只需為叢書編製分類分析目錄，即可達到增加分類檢索途徑的功能，不需一套採集中分類，而另一套採個別分類，這種既不便捷又不合理的作法。所謂叢書分類分析，是為了能從組成叢書的各子書的類號也能查到該子書，因而對整套著錄並分類的叢書，特別將其子書之類號加以析出，編製而成的分類目錄。分類分析目錄編製法：目錄上同時註明兩個類號：其一、各子書所在之整套叢書類號，它是分類排架目錄及文獻排架的依據；其二、各子書本身的類號，其類號必需加上足資識別的符號，例如採圓括號或星號，以表示該類號不作為文獻排架的依據，純粹只作為組織分類目錄之用，以指示或引導讀者查檢該館採用的分類排架目錄。文獻檢索時，因既有整套叢書的類號，又有組成叢書各子書本身的類號，因此擴大並方便了讀者的檢索。另方面館員出納時，因分類分析目錄註有識別符號，即可經由引導或指示作用而查到該書所屬之叢書及其相應書架位置。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23162,2010-01-01,23162_A01,讀者文摘屬總類嗎？,《讀者文摘》（是否指《讀者文摘》叢書？）可分入《中國圖書分類法》總類普通叢書目，但此分類是否適用於「天下文化」叢書仍有疑義。,分類法,類號判定與選擇,類號判定與選擇,,,類目意義與既有類號解讀,,1
23162,2010-01-01,23162_A02,天下文化(叢書名)屬何類？,「天下文化」叢書不宜採整套分類方式分入總類，仍以各子書之本身內容性質分入相應之類目為妥。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23163,2010-01-01,23163_A01,《中國圖書分類法》「書評」類（011.69）與其他類別有何區別？,「書評」類（011.69）依目錄學類（010）下位類「先理論，後實際（應用）」之類序組織原理，應指「書評理論及其寫作法」，綜合性書評作品亦可分入本類；專科書評作品則以分入學科目錄類（016）為宜。,分類法,類號判定與選擇,類號判定與選擇,,,類目意義與既有類號解讀,,1
23163,2010-01-01,23163_A02,《中國圖書分類法》「推薦目錄」類（012.4）與「名著目錄」類（012.5）有何區別？,「推薦目錄」類（012.4）以針對讀者年齡及程度挑選的文獻目錄為重點；「名著目錄」類（012.5）則以全國（世界）範圍內或歷史流傳中具有地位或影響的典籍目錄為重點。兩者屬「可分實不可分」情況，專科之推薦目錄及名著目錄以分入學科目錄類（016）為宜。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23163,2010-01-01,23163_A03,《中國圖書分類法》「文藝批評」類（812）與其他類別有何區別？,「文藝批評」類（812）係從文藝觀點評論、賞析文學作品及作者著述，包含文藝批評理論與方法文獻。與目錄學類別最主要區別在：目錄學類通常採目錄學寫作方式（側重敘述基本著錄、版本流傳、收藏情況、校勘經過等），而文藝批評則以藝術批評手法評價作品之美醜優劣。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23165,2010-01-01,23165_A01,《中文圖書分類法》（2007年版）中，王安石的時代分類號為「125.16」，而「附表8 中國作家時代區分表」為「5.15」，兩者為何有差異？,分類法在編製時，自然會注意及類號之助記問題，透過對應性編號或詳表類目與總論複分的對應等方法，以求其易記易用。但本原則不可能無限制適用下去，恐過於強求助記性，反而產生『以形（式）害義』，並致不能達到『隨類制宜』的目標。例如本題即可視為適用本原則時的一種限制，故對於王安石所編配之號碼，哲學類編為『125.16』，『附表8 中國作家時代區分表』則編為『5.15』，二者並不強求一樣。,分類法,類號判定與選擇,類號判定與選擇,,,類目意義與既有類號解讀,,1
23167,2010-01-01,23167_A02,為何有些《論語》分類號為 121.222（末位數字為 2）？,「121.222」末位數字「2」表示「經書注釋(附本文)」之意。,分類法,類號判定與選擇,類號判定與選擇,,,類目意義與既有類號解讀,,1
23168,2010-01-01,23168_A01,《心靈雞湯》涉及哲學、語文、400類等內容時，應如何分類？,依據分類標準，若以文學體裁為準則，宜分入《中圖法》「874 美國文學」類下之「.6 散文；雜著」目；若以著述目的或書之作用為準則，則宜分入「192.1 修身」類。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23168,2010-01-01,23168_A02,《心靈雞湯》是否屬於總類，需分開放或放在一起？,《心靈雞湯》為一「龐大家族」，中譯本前6種為一般性質修為勵志問題，第7種起則限定於特定內容範圍或對象之修養問題，因此需依不同版本內容範圍分類，而非全屬總類。,分類法,類號判定與選擇,類號判定與選擇,,,資料形式、用途與讀者對象,,1
23169,2010-01-01,23169_A01,有關人生哲學應分入《中國圖書分類法》何類目？,文獻之分類，必須根據一定分類規範工具，才能進行分類標引工作。假如使用分類規範工具不同，則標引出來的號碼也不相同。因此，本題若未指明分類規範工具（原提問文字未註明分類規範工具），真不知如何回答是好。茲以《中國圖書分類法》（1979年增訂7版）為分類規範工具，回答如後，敬請參考。查《中圖法》設有191.9 人生哲學類，因此有關人生哲學之文獻，自可直接分入該類。該類下另有注釋文字：『依作者所屬國家詳分』，即表明該類文獻可依作者國別複分。例如羅家倫《新人生觀》一書分入『191.9』後，再依作者國別複分號碼『2 中國』複分，因此完整之分類號應為『191.92』。有關作者國別號碼，請查賴永祥編訂《中國圖書分類法》（增訂7版）附錄7：『世界分國表』，頁『763-768』（增訂8版，頁650-654）。,分類法,類號判定與選擇,類號判定與選擇,複分與號碼組合,,單一主題類號判定,,1
23170,2010-01-01,23170_A01,《了凡四訓》一書，應分入《中國圖書分類法》何類目？,《了凡四訓》係袁黃所撰...故應分入《中國圖書分類法》 192.1 修身「類；國家圖書館之館藏目錄，則分入『192.8 格言』類，其類號亦可參考。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23171,2010-01-01,23171_A01,《佛學大百科》應歸於宗教類或總類嗎？,《佛學大百科》係以佛教為內容主題之叢書，應分入《中國圖書分類法》『220.8 佛教叢書』類。其分類標引步驟為：1. 主題分析：析出『佛學』（中心因素關鍵詞）和『大百科』（文獻形式因素關鍵詞）；2. 查表選號：以『佛學』為指導查得『220 佛教』類；3. 複分標引：以『大百科』為指導查得『08 叢書』；4. 號碼組配：組合主類號『220』與複分號碼『08』，得出完整分類號『220.8』（佛教叢書類）。,分類法,類號判定與選擇,類號判定與選擇,複分與號碼組合,,單一主題類號判定,,1
23172,2010-01-01,23172_A01,根據《國家圖書館增訂類目表》，有關「一貫道」的文獻應分入何類？,應分入「271.9 中國民間信仰」類。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23172,2010-01-01,23172_A02,根據《中國圖書分類法》（增訂8版），有關「一貫道」的文獻應分入何類？,應分入「271.6 一貫道」類。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23173,2010-01-01,23173_A01,有關佛像雕刻之文獻，應分入《國家圖書館增訂類目表》（民國89年版）224.52 佛教美術子目，或《中國圖書分類法》（增訂7版）224.6 佛像類？,《國家圖書館增訂類目表》（民國89年版）224.52 佛教美術子目係根據《佛教圖書分類法》（1996年版）編訂，未建立與《中國圖書分類法》224.6 佛像類的關係。根據《佛教圖書分類法》範圍，佛教雕塑與佛像涵意大致相同，故實際分類時易造成困擾。為解決此問題，建議採用「交替類目」辦法：1. 將《中圖法》224.52 佛教美術展開設「224.522 佛教雕塑」子目；2. 在《中圖法》224.6 佛像類下加註「宜入224.52」的注釋文字。同理，若選用224.6 佛像為分書類目，亦可依相同方式改訂。,分類法,類號判定與選擇,分類法版本與分類工具,類號判定與選擇,,候選類號比較與適用範圍,,1
23174,2010-01-01,23174_A01,《中圖法》『246.2 天主教』類目為何被認為不敷使用？,《中圖法》『246.2 天主教』類，是把『天主教』視為基督教的一個宗派而設立的。因此，該類只收概述天主教、各國（地）天主教概況及其教史這些類型的文獻，至於其他類型之文獻則分入『240 基督教』有關類目。,分類法,類號判定與選擇,類號判定與選擇,,,類目意義與既有類號解讀,,1
23176,2010-01-01,23176_A01,電腦音樂應分入何類？,本館已另增補917.7 電子及電腦音樂，可參考。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23177,2010-01-01,23177_A01,Star Office是否應歸類為辦公軟體套件而非程式語言？,Star Office應是一套OFFICE的套裝軟體，分入程式語言類（分類工具為「國家圖書館程式語言代碼表」）應有不妥處,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23179,2010-01-01,23179_A01,有關「流體力學」文獻應如何標引？,《中國圖書分類法》物理學力學類（332）下設有「332.6 流體力學」，後修訂8版工程力學類（440.13）下編列「440.136 流體力學」子目。唯此二者類名雖同，但涵意不同：前者為「普通流體力學」（332.6），後者為「工程流體力學」（440.136）。應依文獻內容質判斷，一般流體力學分入前一類，工程流體力學分入後一類。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23180,2010-01-01,23180_A01,有關學生網路安全教學及輔導之書籍、影片，應歸入《中國圖書分類法》哪一類目？,有關學生網路安全教學及輔導之書籍、影片，可歸入《中國圖書分類法》『312.903 電腦人員教育』類。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23181,2010-01-01,23181_A01,有關‘奈米技術’的文獻，原先分入《中國圖書分類法》‘339.9 原子能應用’類是否合適？,有關‘奈米技術’的文獻，分入《中國圖書分類法》‘339.9 原子能應用’類，似乎不妥。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23181,2010-01-01,23181_A02,有關‘奈米技術’的文獻，應分入何類較為合適？,建議採用類目改訂法，將‘440.7 工程展覽會’類改為‘440.7 奈米技術’類，原類目則利用總類複分方式編制為‘440.066 工程展覽會’。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23183,2010-01-01,23183_A01,《21世紀學研地球大百科》應歸入700類嗎？,《21世紀學研地球大百科》不歸入700類。本書係地球科學通俗讀物，依主題應分入『350 地球科學』類。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23184,2010-01-01,23184_A01,有關奈米(納米)材料、結構或技術等相關書籍應歸入何類為宜?,可將「440.7 工程展覽會」類改為「440.7 奈米技術」類，即可解決奈米技術無類可歸之窘境。,分類法,類號判定與選擇,類號判定與選擇,,,單一主題類號判定,,1
23186,2010-01-01,23186_A01,《日本全國大學數學入學試題》（臺北：九章出版社，19xx）應分入《中國圖書分類法》的什麼類目？,《日本全國大學數學入學試題》（臺北：九章出版社，19xx）應先分入《中國圖書分類法》『310 數學』類，然後再複分『022 問題集』。因此，該書之分類號應為310.22。※附註：除非分類特別規定，否則，一組分類號的中間只應有一個『0』，如屬多餘的『0』，則必須刪除之。,分類法,類號判定與選擇,類號判定與選擇,複分與號碼組合,,單一主題類號判定,資料形式、用途與讀者對象,2
23187,2010-01-01,23187_A01,同一事物之「歸甲入乙」，是否可根據專業性質以決定其旨趣？,有關各科「應用文獻」，根據分類的一般原則，總是將總論性的「應用文獻」分入本類，而將專論性的「應用文獻」依被應用的學科或專業歸入相應的類目。文獻分類表的編製，通常也會根據前一原則進行。以《國家圖書館增訂類目表》為例，其即根據前述原則，將總論性的電腦應用及其程式編入312.94，而其類下注釋則雲：「特定用途之應用程式，宜入各類，以029複分」。據此可知，宜將專論性的電腦應用程式分入整個類表有關各類，例如將有關統計應用程式及套裝軟體分入「512.4 統計資料電子計算機處理」類。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,,1
23187,2010-01-01,23187_A02,請予解釋，以釋疑惑。,從另一方面看，圖書館尤其是電腦專業圖書館，也可將所有總論性或專論性的電腦應用集中在一起，此即《國家圖書館增訂類目表》312.94類目注釋後段所示：「如欲集中放置者，可將電腦應用及電腦應用軟體入此」之精神所在。唯宜將注釋文字調整為「必要時得編訂應用程式之細目或依學科號碼複分之」。上述1-3項解說文字，係就一般電腦應用程式立論的，假如是特定名稱的應用程式或套裝軟體，例如「SPSS系統」可在「312.949 各種應用程式、套裝軟體」及「512.4 統計資料電子計算機處理」兩類間，依各館分編政策或專業考量擇一而從。根據上述，有關《SPSS統計應用實務》一書可分入「312.949 各種應用程式、套裝軟體」類，也可分入「512.4 統計資料電子計算機處理」類，端視各館本身之需求而定。唯必須特別指陳的有兩點：其一、宜根據各館之性質、分編政策及專業考量，決定文獻「歸甲入乙」之適用原則與時機；其二、標引原則一經選用確定，宜嚴格遵守，勿經常隨意更改，俾避免造成分類作業的困擾或導致分類標引時前後不一。,分類法,類號判定與選擇,類號判定與選擇,,,候選類號比較與適用範圍,類目意義與既有類號解讀,2
