faq_id,question_date,atomic_id,question,answer,category
22917,2010-01-01,22917_A01,原來6個分別獨立不同屬性單位的圖書館（室），有幾個分別位於不同地方（其他縣市），其中只有一個單位進行正規的編目作業，其餘的並無正式的編目人員，部分館室請義工簡編，部分館室由職員自建清單式Excel檔。今擬共同使用一個書目資料庫（即同一筆書目紀錄下分別掛館藏），是否可行？,答案應是肯定的。,編目政策與管理
22917,2010-01-01,22917_A02,進行書目整合之際及其往後的維護作業，須注意哪些地方？,須注意資料格式轉換與標準化，例如需使用符合ISO 2709格式的系統進行處理。,機讀編目格式
22917,2010-01-01,22917_A03,國內是否有相同案例可資參考指引？,本人並不了解具體案例，惟據知寶慶公司研發之天梭編目系統，具有將文字檔或Excel檔之編目紀錄轉成符合ISO 2709格式的功能，請貴館或可向該公司或相關民間企業諮詢。,其他
22918,2010-01-01,22918_A01,條碼的貼法位置是什麼？,因橫排本（左揭書）及直排本（右揭書）而有不同黏貼的位置。本館通常是，橫排本貼於封面左上角靠近書背的右側；直排本貼於封底左上角也是靠近書背的右側。但在此特別指出的是，黏貼條碼時應注意應避免遮掉文字。,編目政策與管理
22918,2010-01-01,22918_A02,書標的貼法位置是什麼？,通常黏貼於書背下端距書緣3公分，本館之做法為2.5公分。,編目政策與管理
22919,2010-01-01,22919_A01,「書目的書目」的意義為何？,書目的書目係指收錄各種書目、索引等二次文獻的目錄，又稱書目指南或書目總錄，是一種典型的三次文獻。其意義在於收錄對象為目錄書，可視為目錄書的書名清單，作為查檢各種目錄書的工具。,編目法
22919,2010-01-01,22919_A02,「書目的書目」有哪些歷史編纂例子？,"歷史編纂例子包括周星詔之《書目考》、周貞亮與李之鼎之《書目舉要》、邵瑞彭與閻樹善之《書目長編》，以及現代梁子涵編之《中國歷代書目總錄》（收錄1,600多種目錄書）。",編目法
22920,2010-01-01,22920_A01,期刊之CODEN號該去何處查獲？,請進入google搜尋網站（http://www.google.com.tw）首頁，在搜尋框內鍵入『CODEN』，後再按搜尋按鈕，即可查到International CODEN service網頁。進入該網頁，或可提供您所需之資料。,其他
22921,2010-01-01,22921_A01,圖書館分編工作採外包方式時，雙方簽約應注意之事項為何？,僅就個人所知，針對分編工作採外包方式，簽約時應注意之事項，簡述如下： 1 契約必載事項： 1.1 契約書必須載明『契約標的、作業期限、交貨與驗收、作業費用與付款方式、罰則、得標廠商（乙方）人員資格及管理、履約保證金』等事項。 1.2 除上述必載項目外，有關契約之履約、違約、爭議等問題以及著作權之聲明，亦須在契約書載明之。訂約時，可就『著作權聲明、契約範圍、適用法律、管轄範圍、契約收執』等事項，加以規範。 2 書寫注意事項： 2.1 訂約時，雙方可簡稱為『甲』『乙』方。通常訂約圖書館（本館）為甲方，得標廠商為乙方。 2.2 第一次提及『年月日』時，其前註明『民國』或『中華民國』字樣；第二次及其後提及，可省略之。 2.3 書寫金額時，請以中文大寫數字書寫，末尾加一『整』或『正』字，其前註明『新臺幣』字樣。 3 不必記載事項： 3.1 有關『公司必備條件』事項，因係簽約前參加招標必備之條件，故簽約時公司已是合格廠商，故契約書自無須註明。 3.2 有關『編目規範工具』及『書目著錄要求』事項，牽涉到編目作業細節問題，不必規定於契約書內，以免過於瑣碎，可另規定於『作業規格需求書』或『招標規範』中。 4 文書認證事項：雙方所訂之契約書，最好應請律師過目，俾使內容文字及格式符合法律文書之要求；必要時可請律師認證或向地方法院公證處聲請公證，以確保契約履行之效力。,編目政策與管理
22922,2010-01-01,22922_A01,"是否有以xml或txt, excel, xls格式建置之表格檔可供下載？","非常抱歉，目前電子網路上《中國圖書分類法》只提供pdf和word格式，並無xml或txt, excel, xls等格式提供下載。",其他
22923,2010-01-01,22923_A01,國圖編目工作是否為外包？,近些年來由於臺灣地區出版事業的蓬勃發展，另方面也由於本館採訪徵集量年有所增，顯已超出國家圖書館目前編目人力之負荷，故本館基於迅速提供讀者文獻服務，特將其中一部分之文獻編目作業，委由編目外包公司處理。,編目政策與管理
22923,2010-01-01,22923_A02,徐四金的著者號為何是『4448』？,非常抱歉！由於 臺端未註明作者取號所使用之編目規範工具為何？故無法知曉徐四金的著者號為何是『4448』。臺端如願意提供更詳細的訊息，個人樂於解惑釋疑。,作者號及輔助區分號
22924,2010-01-01,22924_A01,文獻內容語文為英文，但書名為中文時，應依何種語文編目規則著錄？,本館已編訂「國家圖書館書目記錄編目語文認定原則」，提供編目業務參考。請上網連線至「國家圖書館編目園地全球資訊網」（http://catweb.ncl.edu.tw）之「編目規範標準／國內／其他／國家圖書館編目規範解釋及分編要點／國家圖書館書目記錄編目語文認定原則」參閱。,編目政策與管理
22925,2010-01-01,22925_A01,一個稱職的圖書館編目人員，應具備那些基本素養？,1 專業背景：應具備圖書資訊學、文獻學、編目知能、文獻檢索、利用工具書、利用電腦及網路等專業知能。另外，最好略具各科基本知識。 2 語文能力：大部分文獻是用文字以紀錄其知識的，故只有在具備某種語文能力基礎上，才具有某種語文編目之能力。建議除具備本國語文能力外，最好能略通一二種外國語文，以備文獻分編實務之需。 3 專攻領域：除圖書館學專業外，最好再專攻諸如人文學（或文史哲學）、社會科學、自然科學、應用科學等學科群下之某一專科知識領域，如此或可形成某一專科文獻學，對於文獻分編工作自然有很大的助益。 4 人格特質：除具備一般職業倫理外，尤其特別要求『四心』：細心、耐心、熱心、愛心。另外，最好具備知識探索的精神。,編目政策與管理
22926,2010-01-01,22926_A01,圖書館編目工作包含哪些內容？,主要包括記述編目（又稱描述編目、文獻著錄）、主題編目（又稱文獻標引，包括分類標引及主題標引）、權威控制、目錄組織（包括目錄維護）、圖書加工（又稱技術加工、輔助加工）、目錄改編（又稱圖書改編）等環節。,編目政策與管理
22926,2010-01-01,22926_A02,圖書館編目工作是否有文獻可提供參考查閱？,建議請查閱編目相關文獻。,編目政策與管理
22927,2010-01-01,22927_A01,像《iRead全民英檢初級仿真試題解析》（晨曦版）第一回光碟（另附iRead閱讀器）這種類型的文獻，應如何編目？,貴館最近入藏之《iRead全民英檢初級仿真試題解析》（晨曦版）第一回光碟（另附iRead閱讀器），係屬於電子資源大家族中的一個成員，其編目規範可適用《中國編目規則》（第3版）『第13章 電子資源』相關條文。,編目法
22928,2010-01-01,22928_A01,視聽資料中外文的界定原則為何？,"視聽資料的語文界定原則與圖書資料大致相同，不過因資料的結構不同，其認定方式稍有差異，茲說明如下： 1 依據『國家圖書館書目紀錄編目語文認定原則』（90年5月28日修訂，93年7月28日第一次修正，http://catweb.ncl.edu.tw/2-1-13-7.htm）為視聽資料及語文學習作品之編目語文認定規範。茲條列其中與視聽資料有關者： 1.1 視聽資料作品內容包含發音及字幕。 1.2 純畫面錄影資料及無曲目之錄音資料(如默劇、大自然或人為聲音、舞蹈表演等) 比照上列1之原則，如下表中英並列""欄2、欄3、欄4所列內容認定之。",編目法
22928,2010-01-01,22928_A02,演奏性質的純音樂該歸為中文或外文？,純演奏錄音資料作品內容按以下原則判斷語文： 3.1 中國國樂（含民族音樂）及中文流行音樂作品內容視為中文。 3.2 外國古典音樂、民族音樂及流行音樂之作品內容視為西文（日、韓文除外）。 3.3 無法決定者，再依曲目文字判斷之。,其他
22929,2010-01-01,22929_A01,特藏的定義是什麼？,特藏是一種專門藏書。它們是為了收集、保存和利用某一形式的文獻（如縮微資料、聲像資料、線裝古籍、專利文獻、學位論文等）、某一專題領域的文獻（如東亞文獻）、某一時代的文獻（如唐代文獻）、某一地域的文獻（如江蘇文獻）、有關某一個人的文獻（如梁啟超研究文獻）、珍貴文獻（如善本）、易損壞的文獻、有某種價值的文獻等，而專門建立起來的藏書。以國家圖書館為例，所謂特藏是指善本、古籍、拓片、年畫、古文書等有關古代文獻及文物而言。,編目法
22929,2010-01-01,22929_A02,特藏是不是指機關團體自己編撰之圖書或印行之出版品？,臺端所提「是不是指機關團體自己編撰之圖書或印行之出版品」，答案既是肯定的也是否定的。根據上述定義，機關出版品的確可以成為特藏之對象，但要視圖書館館藏政策而定。例如國家圖書館就收藏有政府出版品，唯並未列入特藏範圍。,其他
22930,2010-01-01,22930_A01,進行中文書編目時，有哪些編目資源可提供抄錄編目？,臺端如果進行中文文獻編目，有下列編目資源可提供抄錄編目之用： 網路資源 ‧NBINet（全國圖書書目資訊網）http://nbinet.ncl.edu.tw/screens/mainmenu_chi.html ‧ISBN-net（全國新書資訊網）http://lib.ncl.edu.tw/isbn/index.htm ‧中文名稱權威資料庫http://192.83.186.103/nclach/ ‧佛教著者人名權威資料庫http://www.gaya.org.tw/library/author/index.asp ‧各圖書館書目系統或館藏目錄 光碟資源 ‧SinoCat（中華民國出版圖書目錄光碟系統） ‧SinoBook（中華民國出版圖書目錄彙編電子書光碟系統） ‧SinoCIP（中華民國預行編目書目光碟系統),編目法
22931,2010-01-01,22931_A01,國家圖書館已利用電腦程式合併相同作品的書目資料，為何查詢時仍會出現多筆書目資料？,1 對於同一作品的多筆書目紀錄，國家圖書館電腦程式確實已合併並處理了部分資料，但仍然存有下列各種問題或原因，致使對同一作品識讀為兩筆書目紀錄，這時則必須依人工加以判斷和處理。 2 文獻著錄或編目建檔時，所謂「相同的作品」是指「題名、著者、出版地及出版者、出版年及版次」四者均相同的文獻而言。其中如有一項不同時，即視為不同的作品，分別建為兩筆書目紀錄。 3 同一作品如以不同MARC所建立之書目紀錄，例如一館以C MAR建檔，另一館以US MARC建檔，電腦判讀則視為兩筆書目紀錄。 4 各館在文獻編目建檔時，因編目人員的學養及判斷的差異，對於同一著錄項目可能會選用不同欄位，以致使得原本是同一筆書目資料，在電腦判讀辨識時，會被視為兩筆書目紀錄。 5 書目紀錄建檔時，其所選用之字形或字碼不同，亦會影響書目紀錄識別問題，將原是同一作品視為兩筆書目紀錄。,編目法
22932,2010-01-01,22932_A01,是否所有入藏文獻皆需分類編目？,臺端所問圖書館是否為每一種入藏文獻編製目錄，答案應是肯定的，茲申論理由如下： 我們到圖書館借閱文獻，通常方式有二：其一、從開架式書架上直接取閱，其二、也許更多的方式，是從查檢目錄開始來借閱文獻的。因為，目錄具有四大作用，即「記錄、識別、組織和檢索」文獻之作用。由於具有這些作用，因此目錄便具有替代原文獻的作用。由此可知，凡圖書館入藏的文獻，都應為其編製相應的款目，然後再依某種順序組成目錄。,編目法
22932,2010-01-01,22932_A02,所有入藏文獻是否有一定的標準？,目錄因為具有多種排列組織和檢索的方式，因而避免了文獻實體只能限定一個位置的弊病，讓讀者從各種途徑和方式均可查檢。,其他
22932,2010-01-01,22932_A03,假如不擬分編，請問文獻應如何處理？,圖書館目錄是圖書館展開採訪、分編、閱覽、典藏等工作的基礎。,其他
22933,2013-04-23,22933_A01,處理DVD-ROM的編目與CD-ROM有何區別?,CD-ROM分為音樂CD（稱「雷射唱片」，館藏代碼AP）及一般資料CD（稱「光碟片」，館藏代碼DR）；DVD-ROM屬影音光碟（館藏代碼VD），用於儲存電腦資料、影像、音樂等，且容量與規格均與CD不同。,機讀編目格式
22933,2013-04-23,22933_A02,DVD-ROM與CD-ROM特藏號是否一樣?,不同。CD-ROM的特藏號為AP（音樂CD）或DR（資料CD），而DVD-ROM的特藏號為VD。MP3、MP4音檔格式的光碟片則使用AP代碼。,編目法
22934,2013-04-23,22934_A01,餐旅管理類的書籍，內容包含旅館業和餐飲業之經營，應歸入哪一類？,一、餐旅管理類的書籍，若內容包含旅館業和餐飲業之經營，建議歸入483.8或489.2，視書的內容比重而定。 1. 書的內容以旅館業為主兼談旅館之餐飲管理入489.2旅行業 (旅館業)。 2. 書的內容明顯分餐飲業與旅館業兩大塊時： (1)看內容比重及作者意旨較偏向何者，歸入比重較重或作者寫作較偏向的一方。 (2)若兩部分的比重齊鼓相當時，歸入內容在前者。如書的章節內容先講旅館業的經營管理後講餐飲業的經營管理，則歸入489.2旅館業。 分類要熟記分類原則─ ─ 圖書內容涉及兩個以上主題時，原則上依內容所側重者分類(兩個主題屬並列關係得依篇幅多者或在前之主題分類。(中國圖書分類法 增訂七版 p. VI  圖書分類簡則；增訂八版 p.6),編目法
22934,2013-04-23,22934_A02,992.61 觀光旅館 是要放哪些內容？,"二、992.61指旅館設施，如一本書介紹旅館有哪些設施，但並未談及如何經營或管理，可歸入此類。 例1：最值得體驗的18家極致旅館 : 越南法式旅館.印度皇宮旅館.京都老舖旅館 / 郭燕如, 王思佳主編 例2：100個旅店的享樂冒險 = Once-in-a-lifetime hotels / MOOK編輯室作 ※當我們編目遇到相似類名時，一定要看類名的「上一位」所屬的類，才不致偏離主題或造成困擾。489.2的上位是489 各種營業，489的上位是480，此類是有關工商業的經營與產品販售；992.61 觀光旅館的上位是992.6 觀光設施，兩者的區別應該是可以理解的。",編目法
22935,2010-01-01,22935_A01,可否在館外使用 telnet系統查詢國家圖書館的書目紀錄？,答案應該是肯定的。在館外使用telnet系統查詢國家圖書館之書目紀錄，只須備有家用電腦即可。茲將使用步驟簡述如後：開啟電腦後，以滑鼠點選開始按紐，再點選執行，即出現一小對話框，先鍵入『Telnet』，空一格再鍵入IP Adress即可連上telnet系統，然後依提示文字鍵入帳號及密碼，即進入所欲查詢之系統。 1 進入國家圖書館資訊網系統／本館各系統／本館館藏目錄查詢系統 IP Adress：Telnet 192.83.186.10 帳號（Login）：鍵入小寫字母『ncl』 密碼（Password）：鍵入小寫字母『ncl』 2 進入全國圖書資訊網系統（NBInet） 2.1 直接進入 ◇IP Adress：Telnet 192.83.186.100 ◇帳號（Login）：有下列三種鍵入方式 ‧鍵入小寫字母『chinese』：中文Big-5字碼模式 ‧鍵入小寫字母『cccii』：中文CCCII字碼模式 ‧鍵入小寫字母『library』：英文模式 ◇密碼（Login）：無須鍵入任何字符 2.2 間接進入：依『1』先進入『國家圖書館資訊網系統』，然後選『全國圖書資訊網系統』（NBInet） 3 附記：本解答內容，係依據本館林昭君及許靜芬兩位同事提供之資料編寫，特此誌謝！,其他
22936,2010-01-01,22936_A01,ERROR DATA該如何處理？,由於筆者並未親眼目睹，也未實地深入了瞭貴館實際問題廃狀況。因此，未便作答，敬請見諒。,其他
22936,2010-01-01,22936_A02,一本書不是只有一個ISBN嗎？若有多筆書目同一ISBN，請問是何原因？,一般而論，ISBN是一種便於庫存管理的號碼，通常一書一號以達到識別每一種、每一版、每一冊之獨一無二的號碼。但有時也有例外之處，例外原因主要有二：其一、文獻本身因素：即出版機構申請ISBN時，是以套書為單位只申請一個號碼，亦即多卷書共用一個ISBN。假若編目時，系統未設有自動檢查機制，就有可能出現多筆書目資料同用一個ISBN之現象。其二、作業人員疏忽：編目人員以某一筆書目資料為基礎，以拷貝（Copy）方式編製其他相關書之書目資料，事後又未將原先書目資料之ISBN刪除或更改，因而造成多筆書目資料同用一個ISBN。,其他
22937,2010-01-01,22937_A01,大陸地區是否已經建立類似臺灣地區圖書館NBINet的聯合目錄？,目前，中國大陸建有類似臺灣地區圖書館NBINet聯合目錄的機制，其名稱為全國圖書館聯合編目中心'(OLCC)，1997年10月正式成立並啟用，經營形態比較接近美國的OCLC。,其他
22937,2010-01-01,22937_A02,大陸地區若建有類似臺灣地區圖書館NBINet的聯合目錄，請問從何處進行查詢？,"請上網至中國國家圖書館全球資訊網(http://www.nlc.gov.cn)，點選""中文版""即進入中文版首頁；然後點選首頁左下區""合作項目""欄目之""全國圖書館聯合編目中心""，即進入該中心網頁。",其他
22938,2010-01-01,22938_A01,《中國機讀編目格式》中文音譯符號採用「韋傑式羅馬拼音」系統，現教育部通過「通用拼音方案」，對一般大專圖書館編目或其他作業是否有影響？,圖書館部門應可根據本身之特色及需求，在「漢語拼音方案」、「威翟式羅馬拼音」、「通用拼音方案」數種方式中選擇一種。政府並未強制推行政策，因此對一般大專圖書館編目或其他作業影響較小。,編目政策與管理
22938,2010-01-01,22938_A02,對於抄編國家圖書館書目記錄，是否受「通用拼音方案」影響？,譯音符號對於圖書館界衝擊基本上應該是比較小。雖然我國目前通過譯音符號採「通用拼音方案」，但政府明說不採強制方式的推行政策，因此抄編國家圖書館書目記錄應仍可依原有規範執行。,其他
22939,2010-01-01,22939_A01,「合作編目」是什麼意思？,合作編目：又稱分擔編目。指由若干圖書館分擔編目工作，共享編目成果的活動。通常由一個中心圖書館負責組織和協調，其他圖書館或按地區或按專業分工獨立進行。合作編目可加快編目速度，互通有無，有利於發展館際合作和落實文獻資源的共建共享。自從電腦應用於文獻編目工作之後，出現了現代化的合作編目形式 ─ 線上合作編目（聯機合作編目）。它利用圖書館自動化網路，由多個文獻資訊機構結合建構成線上目錄資料庫。成員圖書館可根據文獻的某一特徵，例如根據國際標準書號進行文獻檢索，假如資料庫中已有該筆文獻的書目記錄，就不必進行編目；否則，由該圖書館進行編目，並新增一筆書目記錄。,編目政策與管理
22939,2010-01-01,22939_A02,「集中編目」是什麼意思？,集中編目：由一個中心機構負責編目，眾多文獻資訊機構共享其成果的活動。集中編目可避免重複勞動，提高目錄質量，統一著錄格式，有利於文獻資源的共享。集中編目主要的特點：通常由國家圖書館或地區的大中型圖書館作為國家編目中心或地區編目中心，向全國或地區的圖書館發行印刷目錄卡片、機讀目錄，並負責解答文獻編目業務的諮詢問題；編目方法力求做到規範化、標準化，以實現書目資訊交流；著錄項目齊全，便於各類文獻工作機構根據實際需要，選擇不同詳簡程度的目錄款目或書目記錄。,編目政策與管理
22940,2010-01-01,22940_A01,附有不同媒體形制之書籍，典藏時應將非書資料與書分開，還是隨書典藏較為適當？,從保存維護及方便讀者利用而論，不論純粹之非書資料，或以非書資料為主體之媒體，或以圖書為主體之不同媒體附件，典藏時以與圖書分開典藏為原則。,其他
22940,2010-01-01,22940_A02,若將非書資料與書典藏在一起，其優缺點為何？,優點：現實情況下可節省空間與資源；缺點：書與非書資料之典藏條件不同，長期下來對非書資料之保存與利用比較不利。,其他
22940,2010-01-01,22940_A03,若將非書資料與書分開典藏，其優缺點為何？,優點：可依媒體類型調節保存條件（如溫度、溼度等），維護媒體材質並延長使用年限；缺點：需具備專屬空間與設備，涉及圖書館的空間、設備、人力、財力等限制。,其他
22941,2010-01-01,22941_A01,非書資料目錄是否應與一般圖書目錄分開排列，抑或混合排列？,目錄是文獻實體的替代品，為了配合文獻閱覽的需求及庋藏空間，目錄與文獻通常設於同一處。由於非書資料的載體與圖書資料不盡相同，其相應的相關設備、空間規劃、閱覽措施、保存條件等也就不相同，以致於目錄的貯存空間也跟著不一樣。多數圖書館將非書資料與圖書資料分開貯藏，其非書資料目錄與圖書目錄自也分開排列，俾便針對不同文獻類型需求提供不同的查檢服務。不過，圖書館又為了方便一般讀者，提高服務職能，通常又在總閱覽區設有各種文獻類型的總目錄。總目錄可按文獻類型分開排列，也可按文獻類型混合排列。如此作法，讀者可檢一處而掌全局，不必到處翻檢目錄，徒然浪費時間與精力。假如圖書館財力、人力許可的話，同時設置總目錄和部門目錄，應是周全而完善的措施。,其他
22942,2010-01-01,22942_A01,有無現成且免費的編目軟體，提供圖書館編目之用？,"臺灣地區似乎未聽說有那一所圖書館或學術文化機構提供免費的編目軟體。至於有關現成的編目軟體，就個人所知簡答如下：1. 國出版圖書目錄光碟系統(Sinocat)及電子書光碟系統(Sinobook)：由國家圖書館與飛資得資訊公司共同開發製作，具備查詢、轉錄及原始編目功能(前者具備線上編目功能)。2. 全國圖書資訊網路系統：採參與圖書館合作編目形式，由國家圖書館統籌。3. UriCA/SPYDUS、 INNOPAC、TOTALS2(傳技)、 DYNIX(Windows版：TORICA)、虹橋、三邊等系統。其中，URICA, INNOPAC, DYNIX及傳技等系統使用較為普及，三邊系統多為中小學圖書館所採用。",其他
22943,2010-01-01,22943_A01,對於初學者該如何建立圖書館學的基本知識？,如同新聞、律師等行職業，圖書館工作也具有很明顯的“二元性”，它一方面要求工作者具備本職的專業知識，同時也要求工作者具備某方面的專攻學科領域。美國許多學校的圖書館學課程大都設在研究所階段，其原因在此。有關初學者應如何建立圖書館學的基本知識，這裡無法詳細作答，僅略舉一些書目，也許對圖書館學的認識或進修有一些幫助。 1. 圖書館學要旨 臺3版 臺灣中華書局編輯部編 臺北 臺灣中華書局 1979 ＊撰者實為劉國鈞 2. 圖書館學通論 第4版 俞爽迷撰 臺北 正中書局 1971 3. 圖書資料運用 王振鵠等撰 臺北蘆洲 國立空中大學 1992 4. 圖書館使用實務 薛理桂 顧力仁等撰 臺北蘆洲 國立空中大學 1995 5. 圖書館資源利用 王錫璋撰 臺北 臺灣書店 1998 6. 圖書館學導論 黃宗忠撰 臺北 天肯文化事業公司 1995 7. 圖書館學導論 胡述兆 吳祖善撰 臺北 漢美圖書公司 1991 8. 圖書館學概論 沈寶寰等撰 臺北蘆洲 國立空中大學 1992 9. 圖書館學概論 吳慰慈 邵巍編著 北京 書目文獻出版社 1985 10. 理論圖書館學教程 倪波 荀昌榮主編 天津 南開大學出版社 1981 11. 圖書館學基礎 修訂本 北京大學圖書館學情報學系 武漢大學圖書情報學院編 北京 商務印書館 1991 12. 圖書館學基礎知識 譚迪昭主編 廣州 中山大學 1986 13. 目錄學概論 武漢大學、北京大學《目錄學概論》編寫組編著 北京 中華書局 1982 14. 古籍知識手冊 高振鋒主編 濟南 山東教育出版社 1988 15. 圖書學大辭典 臺1版 盧震京撰 臺北 臺灣商務印書館 1971 16. 中國大百科全書. 圖書館學‧情報學‧檔案學卷 北京 中國大百科全書出版社 1993 17. 圖書館學百科全書 《圖書館學百科全書》編委會編 北京 中國大百科全書出版社 1993 18. 圖書館學‧情報學‧檔案學簡明詞典 來新夏主編 天津 南開大學出版社 1991 19. 圖書館學情報學詞典 周文駿主編 北京 書目文獻出版社 1991 20. 圖書情報詞典 王紹平等編著 上海 漢語大辭典出版社 1990,其他
